Time: Wed Dec 14 08:47:49 2022
Motor PWM, Top Voltage (V), Bottom Voltage (V), Top Current (A), Bottom Current (A), Thrust (kg)
1100,48.31,48.24,0.24,0.19,0.00
1100,48.31,48.22,0.21,0.20,0.00
1100,48.29,48.29,0.22,0.21,-0.00
1100,48.27,48.23,0.25,0.20,-0.00
1100,48.27,48.24,0.23,0.21,0.00
1200,48.28,48.25,0.18,0.45,0.17
1200,48.31,48.31,0.22,0.46,0.17
1200,48.25,48.23,0.22,0.44,0.17
1200,48.28,48.28,0.23,0.44,0.17
1200,48.22,48.25,0.22,0.46,0.17
1300,48.23,48.28,0.21,0.91,0.44
1300,48.26,48.30,0.22,0.89,0.43
1300,48.24,48.21,0.22,0.91,0.44
1300,48.22,48.27,0.21,0.92,0.43
1300,48.29,48.23,0.20,0.87,0.43
1400,48.25,48.23,0.21,1.50,0.77
1400,48.27,48.28,0.20,1.57,0.76
1400,48.23,48.26,0.20,1.49,0.74
1400,48.23,48.25,0.21,1.48,0.76
1400,48.25,48.18,0.23,1.53,0.77
1500,48.23,48.22,0.21,2.72,1.23
1500,48.25,48.23,0.21,2.75,1.22
1500,48.25,48.14,0.21,2.87,1.24
1500,48.18,48.22,0.23,2.80,1.23
1500,48.23,48.24,0.22,2.81,1.25
1600,48.17,48.09,0.23,4.20,1.73
1600,48.21,48.21,0.21,4.35,1.75
1600,48.20,48.20,0.22,4.26,1.76
1600,48.19,48.18,0.21,4.22,1.72
1600,48.19,48.18,0.20,4.48,1.74
1700,48.18,48.14,0.19,5.98,2.18
1700,48.18,48.15,0.18,6.10,2.18
1700,48.12,48.10,0.19,5.94,2.17
1700,48.15,48.08,0.21,6.17,2.24
1700,48.12,48.13,0.17,6.17,2.25
1800,48.19,48.05,0.17,8.51,2.82
1800,48.15,47.99,0.18,8.52,2.82
1800,48.15,48.05,0.19,8.46,2.82
1800,48.14,48.06,0.18,8.63,2.81
1800,48.14,47.99,0.18,8.31,2.75
